Split_Index;Epoch;Accuracy;Val_Loss;Val_Accuracy;TN;FP;FN;TP
4;8;0,9064;0,500313938;0,906432748;66;10;6;89
4;9;0,924;0,428518027;0,9239766;69;7;6;89
4;10;0,9123;0,414549798;0,912280679;69;7;8;87
4;11;0,9181;0,43934378;0,918128669;69;7;7;88
4;12;0,9123;0,415110618;0,912280679;70;6;9;86
4;13;0,9181;0,440042466;0,918128669;69;7;7;88
4;14;0,9064;0,401439637;0,906432748;69;7;9;86
4;15;0,9123;0,381544471;0,912280679;69;7;8;87
4;16;0,9181;0,376394302;0,918128669;70;6;8;87
4;17;0,9123;0,394646168;0,912280679;68;8;7;88
4;18;0,924;0,365221262;0,9239766;70;6;7;88
4;19;0,9064;0,387021124;0,906432748;69;7;9;86
4;20;0,924;0,355980933;0,9239766;70;6;7;88
4;21;0,9181;0,377659231;0,918128669;69;7;7;88
4;22;0,924;0,354890317;0,9239766;70;6;7;88
4;23;0,9181;0,366509646;0,918128669;71;5;9;86
4;24;0,9298;0,382164717;0,929824591;71;5;7;88
4;25;0,9123;0,379668266;0,912280679;68;8;7;88
4;26;0,924;0,409491032;0,9239766;70;6;7;88
4;27;0,8947;0,453626752;0,894736826;68;8;10;85
5;1;0,9181;0,632888377;0,918128669;66;10;4;91
5;2;0,924;0,578879118;0,9239766;68;8;5;90
5;3;0,9298;0,55847764;0,929824591;70;6;6;89
5;4;0,9415;0,550723493;0,941520452;71;5;5;90
5;5;0,924;0,495492578;0,9239766;69;7;6;89
5;6;0,9298;0,482595205;0,929824591;70;6;6;89
5;7;0,9474;0,430248767;0,947368443;70;6;3;92
5;8;0,9298;0,449430853;0,929824591;71;5;7;88
5;9;0,9415;0,396670789;0,941520452;70;6;4;91
5;10;0,9357;0,400237501;0,935672522;70;6;5;90
5;11;0,9532;0,346540451;0,953216374;71;5;3;92
5;12;0,9474;0,357288778;0,947368443;70;6;3;92
5;13;0,924;0,369071573;0,9239766;69;7;6;89
5;14;0,9415;0,344465435;0,941520452;70;6;4;91
5;15;0,9415;0,307755381;0,941520452;70;6;4;91
5;16;0,9357;0,325906128;0,935672522;72;4;7;88
5;17;0,9415;0,301613182;0,941520452;71;5;5;90
5;18;0,9591;0,321717948;0,959064305;72;4;3;92
5;19;0,9474;0,29574573;0,947368443;71;5;4;91
5;20;0,9357;0,280703813;0,935672522;69;7;4;91
5;21;0,9298;0,334334314;0,929824591;70;6;6;89
5;22;0,9298;0,326543301;0,929824591;69;7;5;90
5;23;0,9298;0,302187741;0,929824591;69;7;5;90
5;24;0,924;0,309711128;0,9239766;69;7;6;89
5;25;0,924;0,306411266;0,9239766;70;6;7;88
6;1;0,9181;0,588800251;0,918128669;67;9;5;90
6;2;0,9532;0,521497607;0,953216374;71;5;3;92
6;3;0,9415;0,506266177;0,941520452;70;6;4;91
6;4;0,9532;0,459433854;0,953216374;71;5;3;92
6;5;0,9357;0,447813779;0,935672522;71;5;6;89
6;6;0,9415;0,393937051;0,941520452;71;5;5;90
6;7;0,9591;0,357879966;0,959064305;73;3;4;91
6;8;0,9474;0,353472203;0,947368443;71;5;4;91
6;9;0,9298;0,354712367;0,929824591;69;7;5;90
6;10;0,9474;0,302938819;0,947368443;69;7;2;93
6;11;0,9357;0,292400301;0,935672522;71;5;6;89
6;12;0,9357;0,268861562;0,935672522;68;8;3;92
6;13;0,9415;0,24727954;0,941520452;70;6;4;91
6;14;0,9532;0,234003529;0,953216374;71;5;3;92
6;15;0,9474;0,220332429;0,947368443;70;6;3;92
6;16;0,9474;0,198730975;0,947368443;71;5;4;91
6;17;0,9474;0,202935845;0,947368443;71;5;4;91
6;18;0,9474;0,183606938;0,947368443;70;6;3;92
6;19;0,9474;0,193201631;0,947368443;70;6;3;92
6;20;0,9415;0,199165121;0,941520452;71;5;5;90
6;21;0,9474;0,176075652;0,947368443;71;5;4;91
6;22;0,9181;0,263296694;0,918128669;69;7;7;88
6;23;0,9415;0,202847973;0,941520452;71;5;5;90
6;24;0,9298;0,193253189;0,929824591;69;7;5;90
6;25;0,9357;0,201651812;0,935672522;70;6;5;90
6;26;0,924;0,240692198;0,9239766;71;5;8;87
7;1;0,9064;0,702495575;0,906432748;64;12;4;91
7;2;0,9064;0,653999865;0,906432748;65;11;5;90
7;3;0,9123;0,706682503;0,912280679;65;11;4;91
7;4;0,9123;0,645025134;0,912280679;64;12;3;92
7;5;0,9123;0,62765348;0,912280679;65;11;4;91
7;6;0,9181;0,615262687;0,918128669;64;12;2;93
7;7;0,9123;0,629201591;0,912280679;64;12;3;92
7;8;0,9064;0,571682394;0,906432748;63;13;3;92
7;9;0,9064;0,583458483;0,906432748;63;13;3;92
7;10;0,8947;0,555419683;0,894736826;62;14;4;91
7;11;0,9006;0,558746755;0,900584817;62;14;3;92
7;12;0,9123;0,495325446;0,912280679;64;12;3;92
7;13;0,9123;0,45085451;0,912280679;64;12;3;92
7;14;0,9064;0,538995385;0,906432748;63;13;3;92
7;15;0,9064;0,442105174;0,906432748;65;11;5;90
7;16;0,9064;0,50078094;0,906432748;64;12;4;91
7;17;0,9006;0,486731291;0,900584817;65;11;6;89
7;18;0,9181;0,467296213;0,918128669;66;10;4;91
7;19;0,9064;0,512742102;0,906432748;64;12;4;91
7;20;0,9006;0,535419941;0,900584817;63;13;4;91
8;1;0,8889;0,626892567;0,888888896;65;11;8;87
8;2;0,9181;0,601678193;0,918128669;67;9;5;90
8;3;0,9181;0,54676193;0,918128669;67;9;5;90
8;4;0,9123;0,54344064;0,912280679;65;11;4;91
8;5;0,9181;0,510637105;0,918128669;68;8;6;89
8;6;0,9298;0,492359281;0,929824591;68;8;4;91
8;7;0,9181;0,461697757;0,918128669;68;8;6;89
8;8;0,9357;0,423603207;0,935672522;68;8;3;92
8;9;0,9298;0,379164308;0,929824591;68;8;4;91
8;10;0,9415;0,379198074;0,941520452;69;7;3;92
8;11;0,9415;0,348511755;0,941520452;69;7;3;92
8;12;0,9415;0,329052627;0,941520452;70;6;4;91
8;13;0,9181;0,353548229;0,918128669;67;9;5;90
8;14;0,9181;0,359195679;0,918128669;69;7;7;88
8;15;0,924;0,32718733;0,9239766;69;7;6;89
8;16;0,9357;0,309484571;0,935672522;70;6;5;90
8;17;0,9415;0,285234451;0,941520452;69;7;3;92
8;18;0,9298;0,27344811;0,929824591;70;6;6;89
8;19;0,9298;0,295562536;0,929824591;70;6;6;89
8;20;0,9123;0,313942224;0,912280679;68;8;7;88
8;21;0,9064;0,324104875;0,906432748;68;8;8;87
8;22;0,924;0,298714608;0,9239766;69;7;6;89
8;23;0,924;0,313695937;0,9239766;68;8;5;90
9;1;0,9123;0,64636606;0,912280679;66;8;7;90
9;2;0,9123;0,639231622;0,912280679;67;7;8;89
9;3;0,9123;0,623823524;0,912280679;68;6;9;88
9;4;0,924;0,582958102;0,9239766;68;6;7;90
9;5;0,924;0,575438499;0,9239766;68;6;7;90
9;6;0,9357;0,539408922;0,935672522;69;5;6;91
9;7;0,924;0,535984576;0,9239766;69;5;8;89
9;8;0,9123;0,522298872;0,912280679;68;6;9;88
9;9;0,9181;0,521670043;0,918128669;68;6;8;89
9;10;0,9123;0,501571596;0,912280679;68;6;9;88
9;11;0,9298;0,47410816;0,929824591;68;6;6;91
9;12;0,9298;0,408064246;0,929824591;69;5;7;90
9;13;0,924;0,427249134;0,9239766;69;5;8;89
9;14;0,9123;0,402880937;0,912280679;67;7;8;89
9;15;0,924;0,40895769;0,9239766;71;3;10;87
9;16;0,9298;0,384402484;0,929824591;68;6;6;91
9;17;0,9357;0,379032016;0,935672522;69;5;6;91
9;18;0,9357;0,353506356;0,935672522;68;6;5;92
9;19;0,924;0,372511625;0,9239766;69;5;8;89
9;20;0,924;0,381625354;0,9239766;68;6;7;90
9;21;0,9181;0,409813136;0,918128669;67;7;7;90
9;22;0,9298;0,369697779;0,929824591;68;6;6;91
9;23;0,9357;0,350768715;0,935672522;70;4;7;90
9;24;0,9474;0,346835136;0,947368443;70;4;5;92
9;25;0,9064;0,373334616;0,906432748;66;8;8;89
9;26;0,9357;0,291012496;0,935672522;70;4;7;90
9;27;0,9181;0,358150452;0,918128669;67;7;7;90
9;28;0,9298;0,351829648;0,929824591;69;5;7;90
9;29;0,9298;0,406597108;0,929824591;70;4;8;89
9;30;0,9298;0,432997316;0,929824591;69;5;7;90
9;31;0,9181;0,428021878;0,918128669;67;7;7;90
