Accuracy;Precision;Recall;Specificity;F1-Score;ROC-AUC;Split_Index;Epoch;Val_Loss;Val_Accuracy;Val_F1;Val_AUC;Val_Precision;Val_Recall;Val_Specificity;TN;FP;FN;TP
0,8947;0,8969;0,9158;0,8684;0,9062;0,9651;1;20;0,36775559186935425;0,8947368264198303;;;;;;66;10;8;87
0,9006;0,9062;0,9158;0,8816;0,911;0,9634;1;21;0,38626644015312195;0,9005848169326782;;;;;;67;9;8;87
0,9064;0,899;0,9368;0,8684;0,9175;0,9612;1;22;0,4193808436393738;0,9064327478408813;;;;;;66;10;6;89
0,8889;0,8958;0,9053;0,8684;0,9005;0,9604;1;23;0,40229377150535583;0,8888888955116272;;;;;;66;10;9;86
0,9006;0,898;0,9263;0,8684;0,9119;0,9684;1;24;0,3644179403781891;0,9005848169326782;;;;;;66;10;7;88
0,9006;0,898;0,9263;0,8684;0,9119;0,9657;1;25;0,4033299386501312;0,9005848169326782;;;;;;66;10;7;88
0,9064;0,9072;0,9263;0,8816;0,9167;0,9665;1;26;0,37948742508888245;0,9064327478408813;;;;;;67;9;7;88
0,9064;0,9072;0,9263;0,8816;0,9167;0,9602;1;27;0,423313170671463;0,9064327478408813;;;;;;67;9;7;88
0,9064;0,899;0,9368;0,8684;0,9175;0,9616;1;28;0,41206690669059753;0,9064327478408813;;;;;;66;10;6;89
0,9006;0,9062;0,9158;0,8816;0,911;0,9589;1;29;0,45134562253952026;0,9005848169326782;;;;;;67;9;8;87
0,9123;0,9082;0,9368;0,8816;0,9223;0,9705;2;1;0,6397361159324646;0,9122806787490845;;;;;;67;9;6;89
0,924;0,91;0,9579;0,8816;0,9333;0,9701;2;2;0,6376102566719055;0,9239766001701355;;;;;;67;9;4;91
0,9064;0,9158;0,9158;0,8947;0,9158;0,9742;2;3;0,5999899506568909;0,9064327478408813;;;;;;68;8;8;87
0,9181;0,9175;0,9368;0,8947;0,9271;0,9751;2;4;0,5725740194320679;0,9181286692619324;;;;;;68;8;6;89
0,9123;0,9255;0,9158;0,9079;0,9206;0,9726;2;5;0,5641014575958252;0,9122806787490845;;;;;;69;7;8;87
0,9123;0,9;0,9474;0,8684;0,9231;0,9802;2;6;0,49143776297569275;0,9122806787490845;;;;;;66;10;5;90
0,9181;0,9175;0,9368;0,8947;0,9271;0,9766;2;7;0,48026159405708313;0,9181286692619324;;;;;;68;8;6;89
0,9006;0,9062;0,9158;0,8816;0,911;0,9712;2;8;0,5067624449729919;0,9005848169326782;;;;;;67;9;8;87
0,924;0,9271;0,9368;0,9079;0,9319;0,9753;2;9;0,4560289978981018;0,9239766001701355;;;;;;69;7;6;89
0,9123;0,9167;0,9263;0,8947;0,9215;0,9755;2;10;0,42743271589279175;0,9122806787490845;;;;;;68;8;7;88
