mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__dropout_rate,param_model__learning_rate,param_model__n_layers,param_model__n_neurons,param_model__optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5056940078735351,0.019739349473021247,0.08082823753356934,0.0021528446853995515,tanh,0.0,0.0005,1,256,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 256, 'model__optimizer': 'adam'}",0.86084142394822,0.7864077669902912,0.8511326860841424,0.8376623376623377,0.8311688311688312,0.8334426091707645,0.025686130211837042,21
0.522463321685791,0.04898056882914335,0.07913165092468262,0.0008067940198898103,tanh,0.0,0.0005,1,512,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 1, 'model__n_neurons': 512, 'model__optimizer': 'adam'}",0.8867313915857605,0.8543689320388349,0.8317152103559871,0.8506493506493507,0.8668831168831169,0.85806960030261,0.018234501770257514,2
0.5220020771026611,0.002128667763080654,0.08434996604919434,0.000932161600287871,tanh,0.0,0.0005,2,256,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 256, 'model__optimizer': 'adam'}",0.8446601941747572,0.7864077669902912,0.8673139158576052,0.8701298701298701,0.8344155844155844,0.8405854663136216,0.030256158928819988,14
0.5680545806884766,0.05798147568518497,0.08623809814453125,0.00018363700398629285,tanh,0.0,0.0005,2,512,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 2, 'model__n_neurons': 512, 'model__optimizer': 'adam'}",0.8284789644012945,0.8381877022653722,0.8478964401294499,0.9025974025974026,0.8474025974025974,0.8529126213592233,0.0258376731130203,5
0.5569076061248779,0.0010287052751162963,0.09065704345703125,0.0007791491937998308,tanh,0.0,0.0005,3,256,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 256, 'model__optimizer': 'adam'}",0.86084142394822,0.7669902912621359,0.8155339805825242,0.8084415584415584,0.8409090909090909,0.818543269028706,0.03180620627588144,45
0.6104869365692138,0.061594925845507305,0.09237813949584961,3.847576543846523e-05,tanh,0.0,0.0005,3,512,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0005, 'model__n_layers': 3, 'model__n_neurons': 512, 'model__optimizer': 'adam'}",0.8511326860841424,0.7475728155339806,0.8349514563106796,0.7532467532467533,0.8181818181818182,0.8010171058714748,0.04265216906101857,68
0.48869123458862307,0.003012609815783937,0.07935929298400879,0.0007862808629985294,tanh,0.0,0.0001,1,256,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 1, 'model__n_neurons': 256, 'model__optimizer': 'adam'}",0.7734627831715211,0.7702265372168284,0.7928802588996764,0.8311688311688312,0.7564935064935064,0.7848463833900727,0.025913410459824062,78
0.5262451171875,0.05865557735636572,0.07944755554199219,0.001204856071860321,tanh,0.0,0.0001,1,512,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 1, 'model__n_neurons': 512, 'model__optimizer': 'adam'}",0.8155339805825242,0.7928802588996764,0.7766990291262136,0.8571428571428571,0.7987012987012987,0.808191484890514,0.02744602387847663,56
0.5209917068481446,0.001558671971134322,0.08399710655212403,0.00037626460264337993,tanh,0.0,0.0001,2,256,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 2, 'model__n_neurons': 256, 'model__optimizer': 'adam'}",0.7896440129449838,0.8381877022653722,0.7961165048543689,0.7987012987012987,0.7954545454545454,0.8036208128441139,0.01753524998718902,61
0.5623626708984375,0.052197297291134065,0.0868114948272705,0.002397014618621105,tanh,0.0,0.0001,2,512,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 2, 'model__n_neurons': 512, 'model__optimizer': 'adam'}",0.8349514563106796,0.7864077669902912,0.8511326860841424,0.8603896103896104,0.8409090909090909,0.834758122136763,0.025693299407641573,19
0.555968952178955,0.0031371142926185543,0.12344417572021485,0.06598485006039406,tanh,0.0,0.0001,3,256,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 3, 'model__n_neurons': 256, 'model__optimizer': 'adam'}",0.7669902912621359,0.8155339805825242,0.7896440129449838,0.8246753246753247,0.8051948051948052,0.8004076829319547,0.020362801936669474,69
0.577695894241333,0.0019302704138150063,0.09225106239318848,0.0008558651710877977,tanh,0.0,0.0001,3,512,adam,"{'model__activation': 'tanh', 'model__dropout_rate': 0.0, 'model__learning_rate': 0.0001, 'model__n_layers': 3, 'model__n_neurons': 512, 'model__optimizer': 'adam'}",0.86084142394822,0.7928802588996764,0.8446601941747572,0.8798701298701299,0.8603896103896104,0.8477283234564789,0.02960770478695955,6
