Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Training_Accuracy,Training_Val_Accuracy,Training_Loss,Training_Val_Loss,Training_F1,Training_Val_F1,Training_AUC,Training_Val_AUC,Training_Precision,Training_Val_Precision,Training_Recall,Training_Val_Recall,Training_Specificity,Training_Val_Specificity,Training_TN,Training_FP,Training_FN,Training_TP
0.9298,0.9278,0.9474,0.9079,0.9375,0.9648,4,30,0.9298,0.9298245906829834,0.004858068656176329,0.5189747214317322,0.9375,,0.9648,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9652,4,31,0.9298,0.9298245906829834,0.005028558429330587,0.5236213803291321,0.9375,,0.9652,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9658,4,32,0.9298,0.9298245906829834,0.004978185053914785,0.5247897505760193,0.9375,,0.9658,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,33,0.9298,0.9298245906829834,0.004755390342324972,0.52634197473526,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9651,4,34,0.9298,0.9298245906829834,0.0047658514231443405,0.5283571481704712,0.9375,,0.9651,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9653,4,35,0.9298,0.9298245906829834,0.004718067590147257,0.5300713181495667,0.9375,,0.9653,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,36,0.9298,0.9298245906829834,0.004780034068971872,0.5326752066612244,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,37,0.9298,0.9298245906829834,0.004701850935816765,0.5350988507270813,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9652,4,38,0.9298,0.9298245906829834,0.004626944195479155,0.538135290145874,0.9375,,0.9652,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9654,4,39,0.9298,0.9298245906829834,0.004853924736380577,0.5390698313713074,0.9375,,0.9654,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9652,4,40,0.9298,0.9298245906829834,0.004664724692702293,0.5413639545440674,0.9375,,0.9652,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9648,4,41,0.9298,0.9298245906829834,0.004790288861840963,0.5426506996154785,0.9375,,0.9648,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9644,4,42,0.9298,0.9298245906829834,0.004782740958034992,0.5448528528213501,0.9375,,0.9644,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9645,4,43,0.9298,0.9298245906829834,0.004747313912957907,0.5456247925758362,0.9375,,0.9645,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9643,4,44,0.9298,0.9298245906829834,0.004630391485989094,0.546459436416626,0.9375,,0.9643,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9648,4,45,0.9298,0.9298245906829834,0.004744272213429213,0.5472065806388855,0.9375,,0.9648,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9647,4,46,0.9298,0.9298245906829834,0.0047599091194570065,0.5473425984382629,0.9375,,0.9647,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9649,4,47,0.9298,0.9298245906829834,0.0046749417670071125,0.5477988123893738,0.9375,,0.9649,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9649,4,48,0.9298,0.9298245906829834,0.004642224404960871,0.5490041375160217,0.9375,,0.9649,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9644,4,49,0.9298,0.9298245906829834,0.004593970254063606,0.5497596263885498,0.9375,,0.9644,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9645,4,50,0.9298,0.9298245906829834,0.004605915397405624,0.550275444984436,0.9375,,0.9645,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9646,4,51,0.9298,0.9298245906829834,0.004580067470669746,0.5511244535446167,0.9375,,0.9646,,0.9278,,0.9474,,0.9079,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9645,4,52,0.9298,0.9298245906829834,0.004760970827192068,0.5520490407943726,0.9375,,0.9645,,0.9278,,0.9474,,0.9079,,69,7,5,90
